D_Name,D_SMILES,D_HOMO,D_LUMO,D_lamda_max,A_Name,A_HOMO,A_LUMO,A_lamda_max,VOC (V),JSC (mA/cm²),FF (%),PCE (%),Ratio,D_gap,A_gap,delta_HOMO,delta_LUMO
MPhS-C2,O=C(N(CC)C(S/1)=S)C1=C/C2=CC=C(S2)C(S3)=CC=C3C4=CC5=C(S4)C6=C(C7=CC(SCC(CCCCCC)CCCCCCCC)=CC=C7)C8=C(C(SC(C9=CC=C(C%10=CC=C(/C=C%11C(N(CC)C(S\%11)=S)=O)S%10)S9)=C%12)=C%12S8)C(C%13=CC(SCC(CCCCCC)CCCCCCCC)=CC=C%13)=C6S5,5.35,-3.45,589.0,L8-S9,5.73,-3.66,831.0,0.894,25.37,73.14,16.59,1.7,1.8999999999999995,2.0700000000000003,0.3800000000000008,0.20999999999999996
MPhS-C2,O=C(N(CC)C(S/1)=S)C1=C/C2=CC=C(S2)C(S3)=CC=C3C4=CC5=C(S4)C6=C(C7=CC(SCC(CCCCCC)CCCCCCCC)=CC=C7)C8=C(C(SC(C9=CC=C(C%10=CC=C(/C=C%11C(N(CC)C(S\%11)=S)=O)S%10)S9)=C%12)=C%12S8)C(C%13=CC(SCC(CCCCCC)CCCCCCCC)=CC=C%13)=C6S5,5.35,-3.45,589.0,L8-BO,5.76,-3.88,796.0,0.875,25.69,70.72,15.9,0.85,1.8999999999999995,1.88,0.41000000000000014,0.4299999999999997
B3TR,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCC)C=C(S3)C(S4)=C(CCCCCC)C=C4C5=CC6=C(C(C7=CC=C(CC(CCCC)CC)S7)=C8C=C(SC8=C6C9=CC=C(CC(CC)CCCC)S9)C(S%10)=CC(CCCCCC)=C%10C%11=CC(CCCCCC)=C(S%11)C(S%12)=CC=C%12/C=C%13C(N(C(S\%13)=S)CC)=O)S5)N(CC)C1=S,5.22,-3.67,588.0,BTP-eC9,5.64,-4.05,828.0,0.809,25.5,72.0,14.8,1.0,1.5499999999999998,1.5899999999999999,0.41999999999999993,0.3799999999999999
B3TR,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCC)C=C(S3)C(S4)=C(CCCCCC)C=C4C5=CC6=C(C(C7=CC=C(CC(CCCC)CC)S7)=C8C=C(SC8=C6C9=CC=C(CC(CC)CCCC)S9)C(S%10)=CC(CCCCCC)=C%10C%11=CC(CCCCCC)=C(S%11)C(S%12)=CC=C%12/C=C%13C(N(C(S\%13)=S)CC)=O)S5)N(CC)C1=S,5.22,-3.67,588.0,BTP-eC9,5.64,-4.05,828.0,0.808,24.9,0.683,13.8,1.0,1.5499999999999998,1.5899999999999999,0.41999999999999993,0.3799999999999999
B3TR,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCC)C=C(S3)C(S4)=C(CCCCCC)C=C4C5=CC6=C(C(C7=CC=C(CC(CCCC)CC)S7)=C8C=C(SC8=C6C9=CC=C(CC(CC)CCCC)S9)C(S%10)=CC(CCCCCC)=C%10C%11=CC(CCCCCC)=C(S%11)C(S%12)=CC=C%12/C=C%13C(N(C(S\%13)=S)CC)=O)S5)N(CC)C1=S,5.22,-3.67,588.0,BTP-eC9,5.64,-4.05,828.0,0.802,24.6,0.676,13.4,1.0,1.5499999999999998,1.5899999999999999,0.41999999999999993,0.3799999999999999
B2,S=C(S/C1=C/C2=CC=C(C3=C(C=C(C4=CC5=C(C(C6=CC=C(CC(CCCC)CC)S6)=C7C=C(C8=CC9=C(C(C%10=CC=C(CC(CCCC)CC)S%10)=C%11C=C(C%12=CC(CCCCCC)=C(S%12)C(S%13)=CC=C%13/C=C%14C(N(C(S\%14)=S)CC)=O)SC%11=C9C%15=CC=C(CC(CCCC)CC)S%15)S8)SC7=C5C%16=CC=C(CC(CCCC)CC)S%16)S4)S3)CCCCCC)S2)N(C1=O)CC,5.23,-3.67,609.0,BTP-eC9,5.64,-4.05,828.0,0.861,26.2,75.8,17.1,1.0,1.5600000000000005,1.5899999999999999,0.40999999999999925,0.3799999999999999
B2,S=C(S/C1=C/C2=CC=C(C3=C(C=C(C4=CC5=C(C(C6=CC=C(CC(CCCC)CC)S6)=C7C=C(C8=CC9=C(C(C%10=CC=C(CC(CCCC)CC)S%10)=C%11C=C(C%12=CC(CCCCCC)=C(S%12)C(S%13)=CC=C%13/C=C%14C(N(C(S\%14)=S)CC)=O)SC%11=C9C%15=CC=C(CC(CCCC)CC)S%15)S8)SC7=C5C%16=CC=C(CC(CCCC)CC)S%16)S4)S3)CCCCCC)S2)N(C1=O)CC,5.23,-3.67,609.0,BTP-eC9,5.64,-4.05,828.0,0.857,26.1,72.7,16.1,1.0,1.5600000000000005,1.5899999999999999,0.40999999999999925,0.3799999999999999
B2,S=C(S/C1=C/C2=CC=C(C3=C(C=C(C4=CC5=C(C(C6=CC=C(CC(CCCC)CC)S6)=C7C=C(C8=CC9=C(C(C%10=CC=C(CC(CCCC)CC)S%10)=C%11C=C(C%12=CC(CCCCCC)=C(S%12)C(S%13)=CC=C%13/C=C%14C(N(C(S\%14)=S)CC)=O)SC%11=C9C%15=CC=C(CC(CCCC)CC)S%15)S8)SC7=C5C%16=CC=C(CC(CCCC)CC)S%16)S4)S3)CCCCCC)S2)N(C1=O)CC,5.23,-3.67,609.0,BTP-eC9,5.64,-4.05,828.0,0.861,25.8,66.9,14.9,1.0,1.5600000000000005,1.5899999999999999,0.40999999999999925,0.3799999999999999
CA-CO,CCN(CC)C1=CC=C(C(OC2=O)=C1)C=C2C(/C=C/C3=C(C=CC=C4)C4=CC5=C3C=CC=C5)=O,5.55,-3.59,476.0,Y6,5.7,-4.08,833.0,0.84,20.98,69.0,12.27,0.8333,1.96,1.62,0.15000000000000036,0.4900000000000002
CA-CO,CCN(CC)C1=CC=C(C(OC2=O)=C1)C=C2C(/C=C/C3=C(C=CC=C4)C4=CC5=C3C=CC=C5)=O,5.55,-3.59,476.0,DBTBT-IC,5.77,-3.88,660.0,0.97,14.92,64.0,9.41,0.8333,1.96,1.8899999999999997,0.21999999999999975,0.29000000000000004
